amfi_code,Sortino_Ratio,scheme_name
100016,-0.35104746015230903,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.9418212366054207,HDFC Short Term Debt Fund - Regular - Growth
100033,1.8291339615146942,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,1.7995628746984524,ABSL Frontline Equity Fund - Regular - Growth
101207,0.27664379626092334,ABSL Small Cap Fund - Regular - Growth
101208,-1.6810378667512837,ABSL Liquid Fund - Regular - Growth
102885,1.4357420130649492,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.34722230254727277,UTI Mid Cap Fund - Regular - Growth
102887,1.0887552508030014,UTI Flexi Cap Fund - Regular - Growth
118632,1.8501325468557264,Nippon India Large Cap Fund - Regular - Growth
118633,1.1544757169236237,Nippon India Large Cap Fund - Direct - Growth
118634,0.7460146308533572,Nippon India Small Cap Fund - Regular - Growth
118635,1.137976718780742,Nippon India ETF Nifty 50 BeES
118636,-0.6135251287271027,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.05257398559304797,Axis Bluechip Fund - Regular - Growth
119093,0.22108683979276347,Axis Bluechip Fund - Direct - Growth
119094,1.7037974802463003,Axis Midcap Fund - Regular - Growth
119095,-0.12818559275851932,Axis Small Cap Fund - Regular - Growth
119120,-0.3767670081706672,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,2.140267129061793,SBI Bluechip Fund - Regular Plan - Growth
119552,1.609776489628308,SBI Bluechip Fund - Direct Plan - Growth
119598,1.6753165700125516,SBI Small Cap Fund - Regular Plan - Growth
119599,-0.09438726129459607,SBI Small Cap Fund - Direct Plan - Growth
120503,1.3379431500669237,ICICI Pru Bluechip Fund - Regular - Growth
120504,1.8052937940992548,ICICI Pru Bluechip Fund - Direct - Growth
120505,2.0293529404657464,ICICI Pru Midcap Fund - Regular - Growth
120506,1.0958951614736467,ICICI Pru Value Discovery Fund - Regular - Growth
120507,1.0521238822609293,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8625738849916581,Kotak Bluechip Fund - Regular - Growth
120842,0.12469346986475664,Kotak Emerging Equity Fund - Regular - Growth
120843,2.364320032166718,Kotak Flexicap Fund - Regular - Growth
120844,-0.1877230477424232,Kotak Liquid Fund - Regular - Growth
125497,1.3306512447571366,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.508812819716923,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,2.385644373368818,Mirae Asset Large Cap Fund - Regular - Growth
148568,1.6327409778735162,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,2.1469139263460555,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.7621288703723165,DSP Top 100 Equity Fund - Regular - Growth
149323,1.875101063919208,DSP Midcap Fund - Regular - Growth
149324,1.619793176491409,DSP Small Cap Fund - Regular - Growth
