amfi_code,VaR_95,CVaR_95
100016,-0.06906634638877386,-0.1067558464806779
100025,-0.022702280532959817,-0.03857808290078278
100033,-0.07825766517203034,-0.15983930004435867
101206,-0.071332800508877,-0.131061223439382
101207,-0.09047188262248132,-0.15431696177670445
101208,-0.02179518196750798,-0.036276202525569866
102885,-0.054187634157778664,-0.10578002294105189
102886,-0.07540531417430432,-0.1135276176906279
102887,-0.07078543747354538,-0.15008993229153675
118632,-0.08289527987615428,-0.15867484700019813
118633,-0.06776226877725901,-0.12590020368093213
118634,-0.10584192769764063,-0.1552848665081905
118635,-0.05175365425969765,-0.1178408603625083
118636,-0.02066965314525235,-0.051161402993804964
119092,-0.049692520315040366,-0.09623047504938552
119093,-0.05860515573303042,-0.1069135646848013
119094,-0.08682947908192613,-0.1813603117560077
119095,-0.10963090228048114,-0.1763622747150756
119120,-0.01833260164170174,-0.04357863165476493
119551,-0.06872336190641082,-0.1539654281869111
119552,-0.06025363488240133,-0.11203877475148781
119598,-0.13602982806651434,-0.2051727600608556
119599,-0.10311689287671595,-0.17192376147162153
120503,-0.055845435526865515,-0.1353901129276462
120504,-0.0764767386046675,-0.1503635096441844
120505,-0.1016299168400631,-0.19613660955567627
120506,-0.07152509508350892,-0.12077252795647855
120507,-0.024466101520746703,-0.04152905679245283
120841,-0.05587974211068762,-0.119806837754457
120842,-0.07635676963411855,-0.11164863367001415
120843,-0.09451810089046826,-0.19126463590493384
120844,-0.023438624149662156,-0.03931961275760425
125497,-0.07093752717395992,-0.14685687098953326
125498,-0.07551856150460406,-0.1246556138805046
148567,-0.08096149615910525,-0.1851408368894153
148568,-0.05957504984863784,-0.15341078659326704
148569,-0.10640891529670778,-0.1639712659407888
149322,-0.06706108748522761,-0.11417784188218233
149323,-0.06567207626704574,-0.18635184936423826
149324,-0.10856741255373822,-0.21032257037115762
